Id,SalePrice
1461,119993.207603
1462,151627.147868
1463,180183.408795
1464,197516.603343
1465,202389.200944
1466,170560.888093
1467,179836.676112
1468,159764.181607
1469,196168.812833
1470,118851.305524
1471,187960.435898
1472,98952.0373255
1473,95218.4592232
1474,143645.25208
1475,107769.149946
1476,353491.345158
1477,246628.423472
1478,299885.464143
1479,300140.70692
1480,468216.988803
1481,321077.472032
1482,213618.649645
1483,181217.237362
1484,160653.430349
1485,197439.520405
1486,194974.325113
1487,335647.745766
1488,238780.909017
1489,189481.159387
1490,239799.488272
1491,196910.135991
1492,92765.8055244
1493,190828.971575
1494,295650.039113
1495,288677.152344
1496,234256.240628
1497,179464.681524
1498,171449.96514
1499,165483.834303
1500,158210.512745
1501,172961.769674
1502,145726.153575
1503,285679.220021
1504,241938.169402
1505,225732.283986
1506,187552.576099
1507,244020.658757
1508,201490.868272
1509,161717.697464
1510,142599.443142
1511,150698.949485
1512,177524.522667
1513,153433.35713
1514,154185.298883
1515,192509.872475
1516,155695.239513
1517,171751.530258
1518,131372.337797
1519,209147.516659
1520,125488.525429
1521,128967.495169
1522,179425.280315
1523,110049.527728
1524,126858.677384
1525,117938.456998
1526,110397.876684
1527,109258.108379
1528,140010.66907
1529,149820.661543
1530,187532.755467
1531,106969.470438
1532,98712.8750147
1533,145742.413539
1534,127699.435615
1535,146810.144528
1536,106998.358148
1537,61361.6387214
1538,147834.672406
1539,194998.970606
1540,98367.486838
1541,137979.45738
1542,140412.525457
1543,178437.460173
1544,89083.5197783
1545,118597.297151
1546,138916.540587
1547,128227.656009
1548,143022.712189
1549,123987.682358
1550,133371.680426
1551,106640.704064
1552,133397.406028
1553,145284.872292
1554,116098.511654
1555,158666.718968
1556,86581.3174988
1557,105319.587369
1558,101940.750399
1559,63976.6900141
1560,134485.304913
1561,125916.6481
1562,130969.191289
1563,117667.496045
1564,154237.587379
1565,150947.510871
1566,239259.851834
1567,77758.5619505
1568,232713.121571
1569,124160.287104
1570,141764.990636
1571,123154.794862
1572,140174.719956
1573,228602.740384
1574,119945.13146
1575,229451.298223
1576,250149.211341
1577,178012.209924
1578,150450.846549
1579,143482.200658
1580,197230.619514
1581,156400.97883
1582,124565.185443
1583,282251.011276
1584,216052.736611
1585,133884.215649
1586,64093.4882073
1587,107233.651159
1588,151754.780453
1589,96403.6602653
1590,133431.030649
1591,89615.1927069
1592,115162.258181
1593,126295.610083
1594,122669.899983
1595,106194.29587
1596,214926.722843
1597,196035.464257
1598,233275.05712
1599,166920.768369
1600,158605.269974
1601,66688.548899
1602,118506.310291
1603,70942.3748983
1604,256695.620721
1605,241327.791567
1606,168585.022065
1607,177972.188352
1608,216361.394382
1609,180697.788152
1610,151528.926831
1611,137744.244126
1612,173320.497643
1613,165144.36815
1614,129992.031572
1615,96488.8041662
1616,79760.546361
1617,95932.8202781
1618,125185.527325
1619,138734.504845
1620,146855.891319
1621,138752.759154
1622,143591.572953
1623,258052.526622
1624,208918.932711
1625,117863.038131
1626,173095.140443
1627,192697.477531
1628,282386.136327
1629,184072.261974
1630,342753.237646
1631,233029.743401
1632,247047.425862
1633,178473.661622
1634,184530.940222
1635,174273.594585
1636,152471.369165
1637,200628.12029
1638,177445.72846
1639,192767.971499
1640,249889.323065
1641,184295.820097
1642,244843.050194
1643,210463.517381
1644,235816.200913
1645,196713.679493
1646,158843.209315
1647,161154.630558
1648,128656.796121
1649,141219.839339
1650,112768.406128
1651,120837.604394
1652,98565.4768046
1653,101228.962298
1654,142544.249084
1655,131529.208627
1656,138647.351753
1657,145383.127475
1658,143211.700441
1659,114894.895804
1660,156481.339261
1661,411350.243912
1662,396504.777222
1663,372071.942869
1664,477306.654234
1665,309142.507817
1666,338340.558486
1667,383745.059817
1668,354384.108812
1669,319029.770757
1670,351929.508288
1671,262565.290192
1672,412253.31487
1673,286339.881063
1674,239327.978406
1675,197855.358243
1676,196638.182086
1677,218988.463035
1678,435295.130784
1679,387888.516912
1680,325184.248157
1681,250686.614295
1682,322428.071821
1683,184481.514026
1684,176808.113872
1685,176366.489274
1686,167111.800843
1687,177573.284416
1688,189303.379447
1689,195756.233832
1690,199143.56103
1691,190052.14953
1692,267724.79106
1693,173222.846543
1694,183806.975348
1695,169590.347807
1696,260457.088845
1697,174935.517954
1698,341891.285257
1699,310477.004607
1700,257417.414367
1701,275235.935739
1702,235741.983698
1703,236031.555857
1704,272352.617001
1705,242666.567286
1706,333268.57891
